boq_section,item_code,item_name,unit,quantity,quantity_status,confidence,package,source_evidence,notes
E - Linings & Ceilings,,"External Wall Lining — FC Sheet (6mm, 1200×2700)",sheets,27,calculated,MEDIUM,wall_lining_external,dxf_geometry: ext_wall_lm=38.40 m × h=2.4 m → gross=92.16 m² − openings=10.941 m² → net=81.22 m²,"Opening deductions: doors=1.877 m² [DOOR_90×1(0.920×2.04)]; windows=9.064 m² [WINDOW_LOUVRE_1100×8(1.080×0.75), WINDOW_LOUVRE_800×2(0.799×0.75), WINDOW_LOUVRE_1800×1(1.847×0.75)] (louvre height=0.75 m from config default). Gross=92.16 m² − 10.941 m² = net=81.22 m²."
E - Linings & Ceilings,,External Wall Lining — FC Sheet Screws,boxes,11,calculated,LOW,wall_lining_external,derived from ext_wall_area_net=81.22 m²,
E - Linings & Ceilings,,"Internal Wall Lining — FC Sheet (6mm, 1200×2700)",sheets,41,calculated,HIGH,wall_lining_internal,dxf_geometry: int_wall_lm=29.40 m × h=2.4 m × 2 faces = 141.12 m² − int_doors=16.320 m² → net=124.80 m²,"Opening deductions (assumed-internal doors, both partition faces): 16.320 m² [DOOR_82×4×2f(0.820×2.04), DOOR_72×1×2f(0.720×2.04)]. Gross=141.12 m² − 16.320 m² = net=124.80 m². Doors classified as internal by width < 0.85 m threshold. Measured from DXF WALLS layer: 8 internal wall runs."
E - Linings & Ceilings,,Internal Wall Lining — FC Sheet Screws,boxes,16,calculated,LOW,wall_lining_internal,derived from int_wall_area_both_net=124.80 m²,"Opening deductions (assumed-internal doors, both partition faces): 16.320 m² [DOOR_82×4×2f(0.820×2.04), DOOR_72×1×2f(0.720×2.04)]. Gross=141.12 m² − 16.320 m² = net=124.80 m². Doors classified as internal by width < 0.85 m threshold. Measured from DXF WALLS layer: 8 internal wall runs."
E - Linings & Ceilings,,Internal Wall Lining — FC Sheet Joiner Strip,lm,117.6,calculated,LOW,wall_lining_internal,dxf_geometry: int_wall_lm=29.40 m × 2 faces = 58.8 lm,1 vertical joiner strip per 1.2 m sheet-width run × 2.4 m height.
E - Linings & Ceilings,,Wet Area Wall Lining — Waterproof Board / FC,sheets,7,inferred,LOW,wall_lining_wet,rooms=['Toilet']: total_wet_wall_area≈20.40 m²,MANUAL REVIEW REQUIRED. Wet area lining derived from room perimeter estimate. Verify room dimensions.
E - Linings & Ceilings,,"Ceiling Lining — FC Sheet (6mm, 1200×2400)",sheets,24,calculated,MEDIUM,ceiling_lining,derived: ceiling_area=64.80 m²,
E - Linings & Ceilings,,Ceiling Batten (LGS / timber),lm,162.0,calculated,MEDIUM,ceiling_lining,derived: ceiling_area=64.80 m²,
E - Linings & Ceilings,,Ceiling FC Sheet Screws,boxes,7,calculated,LOW,ceiling_lining,derived from ceiling_area=64.80 m²,
E - Linings & Ceilings,,"Verandah Soffit Lining — FC Sheet (6mm, 1200×2400)",sheets,8,calculated,HIGH,ceiling_lining,dxf_geometry: verandah_area=21.60 m² (soffit = verandah deck area),Verandah soffit lining: 21.60 m² from DXF verandah polygon. Soffit area treated equal to verandah floor area. Verify from architectural drawings.
E - Linings & Ceilings,,Verandah Soffit Batten (LGS / timber),lm,54.0,calculated,MEDIUM,ceiling_lining,dxf_geometry: verandah_soffit_area=21.60 m²,Verandah soffit batten: 21.60 m² at 400 mm spacing = 54.0 lm.
E - Linings & Ceilings,,Cornice / Ceiling Trim,lm,38.4,calculated,MEDIUM,ceiling_trim,dxf_geometry: ext_wall_perimeter=38.40 m,Assumes cornice on external walls only. Add int_wall_lm if cornice on internal walls too.
I - Services,,Hand Basin (dispensary),nr,1,inferred,LOW,services,room_schedule: Dispensary (type=pharmacy),MANUAL REVIEW REQUIRED. Inferred from room type 'pharmacy'.
I - Services,,Tapware (basin),set,1,inferred,LOW,services,room_schedule: Dispensary (type=pharmacy),MANUAL REVIEW REQUIRED. Inferred from room type 'pharmacy'.
I - Services,,Cold Room / Refrigeration Allowance,item,1,inferred,LOW,services,room_schedule: Dispensary (type=pharmacy),MANUAL REVIEW REQUIRED. Inferred from room type 'pharmacy'.
I - Services,,Builder's Works — Electrical (pharmacy),item,1,inferred,LOW,services,room_schedule: Dispensary (type=pharmacy),MANUAL REVIEW REQUIRED. Inferred from room type 'pharmacy'.
I - Services,,Builder's Works — Services (unclassified room),item,1,inferred,LOW,services,room_schedule: Waiting / Reception (type=waiting),MANUAL REVIEW REQUIRED. Inferred from room type 'waiting'.
I - Services,,Hand Basin (consulting room),nr,1,inferred,LOW,services,room_schedule: Consultation Room (type=consulting),MANUAL REVIEW REQUIRED. Inferred from room type 'consulting'.
I - Services,,Tapware (basin),set,1,inferred,LOW,services,room_schedule: Consultation Room (type=consulting),MANUAL REVIEW REQUIRED. Inferred from room type 'consulting'.
I - Services,,Builder's Works — Plumbing (consulting),item,1,inferred,LOW,services,room_schedule: Consultation Room (type=consulting),MANUAL REVIEW REQUIRED. Inferred from room type 'consulting'.
I - Services,,Builder's Works — Electrical (office),item,1,inferred,LOW,services,room_schedule: Staff Room (type=office),MANUAL REVIEW REQUIRED. Inferred from room type 'office'.
I - Services,,WC Pan (close-coupled),nr,1,inferred,MEDIUM,services,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
I - Services,,WC Cistern,nr,1,inferred,MEDIUM,services,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
I - Services,,Hand Basin,nr,1,inferred,MEDIUM,services,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
I - Services,,Tapware (basin),set,1,inferred,MEDIUM,services,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
I - Services,,Mirror / Medicine Cabinet,nr,1,inferred,LOW,services,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
I - Services,,Toilet Roll Holder,nr,1,inferred,LOW,services,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
I - Services,,Hand Towel Rail / Dryer,nr,1,inferred,LOW,services,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
I - Services,,Floor Waste,nr,1,inferred,MEDIUM,services,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
I - Services,,Builder's Works — Plumbing (toilet),item,1,inferred,MEDIUM,services,room_schedule: Toilet (type=toilet),MANUAL REVIEW REQUIRED. Inferred from room type 'toilet'.
I - Services,,Wet Area Wall Tiling — Toilet,m2,15.3,inferred,LOW,services,"room: Toilet (area=4.50 m², wet_area=True)","MANUAL REVIEW REQUIRED. Inferred: perimeter (8.5 m) × 1800 mm splash-zone height. No finish schedule in source documents. Verify tile type, height, and area from architectural drawings. Deduct openings."
I - Services,,Wet Area Waterproofing — Membrane,m2,5.78,inferred,MEDIUM,services,room: Toilet (area=4.50 m²),MANUAL REVIEW REQUIRED. Waterproofing: floor area + 150 mm upstand on walls for Toilet. Verify room dimensions and upstand height from architectural drawings.
I - Services,,Builder's Works — Services (unclassified room),item,1,inferred,LOW,services,room_schedule: Storage (type=store),MANUAL REVIEW REQUIRED. Inferred from room type 'store'.
I - Services,,Air Conditioning / Mechanical Ventilation — PLACEHOLDER,item,0,placeholder,LOW,services,building_type=pharmacy: commercial building requires mechanical services,"MANUAL REVIEW REQUIRED. PLACEHOLDER. Commercial building in tropical climate likely requires split-system or cassette AC units. No mechanical schedule or equipment schedule in source documents. Obtain from mechanical engineer or building services consultant. Include: outdoor units, indoor units, refrigerant pipework, electrical supply, condensate drainage, ceiling penetrations."
I - Services,,Exhaust Fan — Wet Area (toilet / laundry),item,0,placeholder,LOW,services,building_type=pharmacy: wet area ventilation required by BCA F4.6,"MANUAL REVIEW REQUIRED. PLACEHOLDER. BCA F4.6 requires mechanical exhaust in rooms without openable windows. Confirm exhaust fan type, ducting, and external discharge location from architectural drawings."
I - Services,,Main Electrical Switchboard / Distribution Board,item,1,inferred,LOW,services,floor_area=86.40 m² (building-wide),MANUAL REVIEW REQUIRED. 1 per building; adjust for sub-boards
I - Services,,Main Water Meter / Stopcock,item,1,inferred,LOW,services,floor_area=86.40 m² (building-wide),MANUAL REVIEW REQUIRED. Whole-building service allowance.
I - Services,,Hot Water System (central),item,1,inferred,LOW,services,floor_area=86.40 m² (building-wide),MANUAL REVIEW REQUIRED. only if not allocated to individual rooms
I - Services,,Smoke Detectors (provisional),nr,3,inferred,LOW,services,floor_area=86.40 m² (building-wide),MANUAL REVIEW REQUIRED. 1 per 40 m² floor area (indicative)
C - Insulation,,Insulation Batts — Roof / Ceiling,m2,106.6,calculated,HIGH,insulation,dxf_geometry: roof_area=106.60 m²,
C - Insulation,,Insulation Batts — External Wall,m2,92.16,calculated,MEDIUM,insulation,dxf_geometry: ext_wall_lm=38.40 × h=2.4,Gross wall area; deduct large openings if required.
J - Stairs,,Stair Stringer (Prefabricated Set) — 3 RISER,nr,1,inferred,LOW,stairs,project_config: STR-1,MANUAL REVIEW REQUIRED. Entry stair — riser count estimated from raised floor height (~525mm). Verify from architectural drawings.
J - Stairs,,Stair Tread,nr,3,inferred,LOW,stairs,project_config: risers_per_flight=3,MANUAL REVIEW REQUIRED.
J - Stairs,,Stair Newel Post,nr,2,calculated,MEDIUM,stairs,project_config: STR-1,1 newel post at top and bottom of each flight.
J - Stairs,,Stair Balustrade — Top Rail,lm,0.75,calculated,LOW,stairs,project_config: STR-1,MANUAL REVIEW REQUIRED. Verify length from architectural drawings.
J - Stairs,,Stair Balustrade Post,nr,1,calculated,LOW,stairs,project_config: balustrade_lm=0.75 m,MANUAL REVIEW REQUIRED. 1 post per 1.2 m spacing. Verify from balustrade schedule.
J - Stairs,,Stair Balustrade Infill (glass / mesh / picket),m2,0.75,inferred,LOW,stairs,project_config: balustrade_lm=0.75 m,MANUAL REVIEW REQUIRED. Infill height assumed 1.0 m. Adjust for guard height requirement (≥1.0 m at >1.0 m fall).
J - Stairs,,Stair Handrail,lm,0.75,calculated,LOW,stairs,project_config: STR-1,MANUAL REVIEW REQUIRED. Verify handrail length. Continuous rail both sides of flight where required by code.
J - Stairs,,Access Ramp — Surface (concrete / non-slip),m2,8.82,inferred,LOW,stairs,derived from project_config: stair: 3 risers × 175 mm = 525 mm,"MANUAL REVIEW REQUIRED. Access ramp: 1:14 gradient, stair: 3 risers × 175 mm = 525 mm → 7.35 m run × 1.2 m wide = 8.82 m². Verify need and exact dimensions from architectural drawings and BCA D3.3."
J - Stairs,,Access Ramp — Handrail (both sides),lm,14.7,inferred,LOW,stairs,derived from ramp run: 7.35 m (stair: 3 risers × 175 mm = 525 mm),MANUAL REVIEW REQUIRED. Continuous handrails both sides of ramp. Verify height and spec from architectural drawings.
J - Stairs,,Access Ramp — Edge Kerb / Guard,lm,14.7,inferred,LOW,stairs,derived from ramp run: 7.35 m (stair: 3 risers × 175 mm = 525 mm),MANUAL REVIEW REQUIRED. Kerb guard (min 75 mm high) both sides. Verify from architectural drawings.
K - External Works,,Verandah Balustrade,lm,20.4,measured,HIGH,external_balustrade,dxf_geometry: verandah_perimeter=20.40 m,
K - External Works,,Verandah Handrail,lm,20.4,calculated,MEDIUM,external_balustrade,dxf_geometry: verandah_perimeter=20.40 m,Reduce if one side abuts building wall.
K - External Works,,Balustrade Post,nr,17,calculated,LOW,external_balustrade,derived from verandah_perimeter=20.40 m,
